ld	ITEM	g	$	shipping estimate	$/g	WHERE	TYPE	DATE	NOTE
0	Clover Honey Bear	340	$2.50		0.0074	Kroger	ADDITIVE	11/4/2020	
1	Old Fashioned Whole Grain Oats	1191	$2.69		0.0023	Kroger	ADDITIVE	11/4/2020	
2	kukui nut oil	113	$4.09		0.0362	Brambleberry	BASE OIL	7/9/2020	
3	kukui nut oil	452	$14.09		0.0312	Brambleberry	BASE OIL	7/9/2020	
4	Premium White Beeswax	454	$12.99		0.0286	Brambleberry	BASE OIL	7/10/2020	
5	palm oil	454	$2.99		0.0066	Brambleberry	BASE OIL	7/9/2020	
6	coconut oil	454	$3.99		0.0088	Brambleberry	BASE OIL	7/9/2020	
7	rice bran oil	454	$3.99		0.0088	Brambleberry	BASE OIL	7/9/2020	
8	canola oil	454	$4.79		0.0106	Brambleberry	BASE OIL	7/9/2020	
9	Olive Oil Pomace	454	$5.49		0.0121	Brambleberry	BASE OIL	7/9/2020	
10	almond oil	454	$5.75		0.0127	pinemeadows.net	BASE OIL		
11	olive oil	454	$6.49		0.0143	Brambleberry	BASE OIL	7/9/2020	
12	sweet almond oil	454	$6.99		0.0154	Brambleberry	BASE OIL	7/9/2020	
13	avocado oil	454	$7.59		0.0167	Brambleberry	BASE OIL	7/9/2020	
14	Shea Butter	454	$7.99		0.0176	Brambleberry	BASE OIL	7/9/2020	
15	All Natural Pure Leaf Lard	454	$24.45		0.0539	proper foods for life	BASE OIL		
16	Filippo Berio Olive Oil	698	$6.70		0.0096	Kroger	BASE OIL	7/15/2020	
17	Kroger Pure Coconut Oil	824	$4.93		0.0060	Kroger	BASE OIL		
18	palm kernel flakes	907	$8.29		0.0091	Brambleberry	BASE OIL	7/9/2020	
19	olive oil	3175	$28.79		0.0091	Brambleberry	BASE OIL	7/9/2020	
20	palm oil	3175	$17.39		0.0055	Brambleberry	BASE OIL	7/9/2020	
21	coconut oil	3178	$17.99		0.0057	Brambleberry	BASE OIL	7/9/2020	
22	castor oil	3178	$23.19		0.0073	Brambleberry	BASE OIL	7/9/2020	
23	rice bran oil	3178	$23.19		0.0073	Brambleberry	BASE OIL	7/9/2020	
24	sweet almond oil	3178	$29.98		0.0094	Brambleberry	BASE OIL	7/9/2020	
25	Olive Oil Pomace	3178	$29.99		0.0094	Brambleberry	BASE OIL	7/9/2020	
26	avocado oil	3178	$42.49		0.0134	Brambleberry	BASE OIL	7/9/2020	
27	kukui nut oil	3178	$86.76		0.0273	Brambleberry	BASE OIL	7/9/2020	
28	Walmart soybean oil	3480	$6.68		0.0019	Walmart	BASE OIL		
29	palm kernel flakes	4535	$31.39		0.0069	Brambleberry	BASE OIL	7/9/2020	
30	shea butter	4540	$65.49		0.0144	Brambleberry	BASE OIL	7/9/2020	
31	olive oil	15876	$135.89		0.0086	Brambleberry	BASE OIL	7/9/2020	
32	palm oil	15890	$54.99		0.0035	Brambleberry	BASE OIL	7/9/2020	
33	coconut oil	15890	$73.50		0.0046	Brambleberry	BASE OIL	7/9/2020	
34	castor oil	15890	$104.99		0.0066	Brambleberry	BASE OIL	7/9/2020	
35	rice bran oil	15890	$112.99		0.0071	Brambleberry	BASE OIL	7/9/2020	
36	Olive Oil Pomace	15890	$113.09		0.0071	Brambleberry	BASE OIL	7/9/2020	
37	sweet almond oil	15890	$139.39		0.0088	Brambleberry	BASE OIL	7/9/2020	
38	avocado oil	15890	$197.49		0.0124	Brambleberry	BASE OIL	7/9/2020	
39	palm kernel flakes	22675	$135.38		0.0060	Brambleberry	BASE OIL	7/9/2020	
40	shea butter	24970	$269.49		0.0108	Brambleberry	BASE OIL	7/9/2020	
41	Amaranth Pink	28	$3.85		0.1375	Nurture Soap Supplies	COLOURANT		
42	Desert Sunset	28	$3.85		0.1375	Nurture Soap Supplies	COLOURANT		
43	Fandango Pink	28	$3.85		0.1375	Nurture Soap Supplies	COLOURANT		
44	Khaki Yellow	28	$3.85		0.1375	Nurture Soap Supplies	COLOURANT		
45	Orange Vibrance	28	$3.85		0.1375	Nurture Soap Supplies	COLOURANT		
46	Wisteria Purple	28	$3.85		0.1375	Nurture Soap Supplies	COLOURANT		
47	Gold Sparkle Mica	28	$4.50		0.1607	brambleberry	COLOURANT		
48	Titanium Dioxide	28	$3.00		0.1058	Brambleberry	COLOURANT		
49	Neon Blue	28	$8.00		0.2822	Brambleberry	COLOURANT		
50	Fizzy Lemonade	28	$9.99		0.3524	Brambleberry	COLOURANT	7/9/2020	
51	Fizzy Lemonade	454	$119.99		0.2645	Brambleberry	COLOURANT	7/9/2020	
52	Titanium Dioxide	454	$8.00		0.0176	Brambleberry	COLOURANT		
